time,x,y,z,a
0.007407676,-2.04495,2.4139502,8.7409506,9.2958697
0.009826753,-1.9590001,2.4090002,8.8290005,9.3590711
0.01224583,-1.8970501,2.3989501,8.9490004,9.4571861
0.014664907,-1.81305,2.4019501,9.0520506,9.5391894
0.017083994,-1.7700001,2.38695,9.1429501,9.6137384
0.019503071,-1.7340001,2.3970001,9.2389507,9.7010606
0.021922148,-1.6459501,2.3779502,9.3469505,9.7841342
0.024341225,-1.5979501,2.39205,9.3940506,9.8246392
0.026760302,-1.5520501,2.3629501,9.4969501,9.9088069
0.029179392,-1.5499501,2.35605,9.5550003,9.9624971
0.031598469,-1.4920501,2.3440502,9.61695,10.01032
0.034017546,-1.5190501,2.2990501,9.6409502,10.027017
0.036436623,-1.4830501,2.3350501,9.6820507,10.069459
0.038855699,-1.4320501,2.3269501,9.6790504,10.05731
0.041274785,-1.43505,2.3490002,9.6910505,10.074405
0.043693861,-1.4280001,2.3470502,9.7320004,10.112352
0.046112938,-1.437,2.3749502,9.7579508,10.145095
0.048532092,-1.4080501,2.3779502,9.8160009,10.197604
0.050951094,-1.3750501,2.39205,9.8899508,10.267609
0.053370256,-1.33395,2.38995,9.9949503,10.36293
0.055789335,-1.3080001,2.4180002,10.12005,10.486802
0.058208335,-1.2409501,2.4349501,10.25895,10.616732
0.060627487,-1.2169501,2.3989501,10.39305,10.735521
0.063046566,-1.19805,2.3830502,10.51305,10.846127
0.065465657,-1.248,2.35395,10.54605,10.877397
0.067884734,-1.3990501,2.289,10.527,10.863453
0.07030381,-1.3219501,2.3320501,10.603951,10.93754
0.072722887,-1.284,2.3130002,10.752001,11.072676
0.075141964,-1.2600001,2.3419502,10.94805,11.266416
0.077561051,-1.2940501,2.38695,11.013,11.342763
0.079980128,-1.2529501,2.3850002,11.161051,11.481601
0.082399205,-1.3920001,2.3610001,11.097,11.430459
0.084818282,-1.3410001,2.35605,11.133,11.458314
0.087237359,-1.2940501,2.3659501,11.20005,11.520131
0.089656445,-1.2220501,2.3370001,11.11095,11.419641
0.092075522,-1.215,2.3659501,11.02005,11.336465
0.094494599,-1.164,2.35605,10.92195,11.233649
0.096913676,-1.1380501,2.4109502,10.816951,11.140658
0.099332753,-1.12395,2.3989501,10.704,11.02696
0.10175206,-1.1040001,2.4349501,10.611,10.942629
0.10417091,-1.128,2.4619501,10.519951,10.862916
0.10659021,-1.0969501,2.4810002,10.44795,10.794366
0.10900929,-1.12395,2.5549502,10.354951,10.724553
0.11142814,-1.11405,2.5570502,10.24905,10.6218
0.11384742,-1.143,2.5789502,10.15095,10.535617
0.11626627,-1.179,2.5840502,10.07205,10.464872
0.11868558,-1.22895,2.5549502,10.021951,10.415257
0.12110466,-1.284,2.56005,9.96,10.363596
0.12352373,-1.3410001,2.5429502,9.9259501,10.333894
0.12594281,-1.3969501,2.5360501,9.9210005,10.334857
0.12836189,-1.3890001,2.4760501,9.9139509,10.312447
0.13078096,-1.3729501,2.457,9.9520502,10.342395
0.13320004,-1.3080001,2.4259501,10.000051,10.372903
0.13561912,-1.2430501,2.42295,10.030951,10.394029
0.13803821,-1.2030001,2.4300001,10.08405,10.44223
0.14045729,-1.1710501,2.4019501,10.158001,10.503604
0.14287636,-1.12605,2.3989501,10.206,10.544448
