time,x,y,z,a
0.008536391,1.4680501,0.28305,10.222951,10.331699
0.010955468,1.5160501,0.27600002,10.363951,10.477884
0.013374545,1.55505,0.26805001,10.531951,10.649508
0.015793622,1.6309501,0.27105001,10.618051,10.745998
0.018212785,1.6840501,0.25605002,10.615951,10.751744
0.020631786,1.7220001,0.25905001,10.495951,10.639425
0.023050861,1.7320501,0.28800002,10.333051,10.481168
0.025470014,1.7320501,0.28305,10.13895,10.289724
0.027889016,1.72695,0.31905001,9.993,10.146142
0.030308153,1.6890001,0.33795002,9.8880005,10.036906
0.032727232,1.6480501,0.36405003,9.71805,9.8635236
0.035146309,1.5979501,0.41895002,9.5479507,9.6898053
0.037565386,1.5930001,0.45300001,9.3510008,9.4965296
0.039984463,1.5190501,0.47400004,9.2200508,9.3563629
0.042403535,1.4920501,0.47400004,9.1500006,9.2829629
0.044822612,1.521,0.45795003,9.1500006,9.2868547
0.047241689,1.53495,0.44805002,9.2269506,9.3644775
0.049660766,1.5979501,0.40500003,9.3319502,9.476432
0.052079843,1.6309501,0.39495003,9.5089502,9.6558852
0.054498944,1.6840501,0.35205001,9.6550503,9.8071382
0.056918249,1.6890001,0.34305,9.7969503,9.9473937
0.059337097,1.6840501,0.34005001,9.9040508,10.051959
0.061756172,1.6429501,0.29895002,9.9640503,10.103017
0.064175249,1.60695,0.29895002,9.9859505,10.118837
0.066594316,1.6140001,0.32805002,10.029,10.163339
0.069013624,1.6000501,0.31605002,10.02705,10.158828
0.071432703,1.6140001,0.32100001,10.053,10.186798
0.07385178,1.60695,0.30705002,10.048051,10.180368
0.076270857,1.6339501,0.32595003,10.054951,10.192059
0.07868992,1.6140001,0.33495003,10.015051,10.1498
0.081108997,1.6339501,0.33495003,9.9550505,10.093811
0.083528074,1.626,0.38595003,9.8970003,10.037104
0.08594715,1.62405,0.38100001,9.8449507,9.9852768
0.088366226,1.6339501,0.37095001,9.7990503,9.9412667
0.090785292,1.626,0.39300001,9.7200003,9.8628967
0.093204369,1.5979501,0.40005001,9.6670504,9.8063932
0.095623446,1.6099501,0.40695003,9.6220503,9.764292
0.098042523,1.58595,0.38295001,9.5980501,9.7357308
0.1004616,1.5880501,0.39795002,9.5689507,9.7079907
0.10288068,1.5949501,0.38100001,9.6000004,9.7390469
0.10529983,1.5949501,0.38100001,9.6439505,9.7823723
0.10771891,1.6339501,0.38295001,9.7080002,9.8519902
0.11013799,1.6360501,0.36900002,9.7780504,9.9208412
0.11255706,1.6360501,0.38295001,9.8400002,9.9824302
0.11497614,1.65495,0.35505003,9.8610001,10.005211
0.11739522,1.6309501,0.35700002,9.8610001,10.001338
0.11981429,1.65795,0.33495003,9.9070501,10.050405
0.12223337,1.6189501,0.29895002,9.8970003,10.032995
0.12465245,1.62195,0.34500003,9.9090004,10.046792
0.12707152,1.6290001,0.32295001,9.8880005,10.026489
0.12949059,1.6459501,0.333,9.8880005,10.029586
0.13190967,1.6189501,0.32595003,9.8899508,10.026882
0.13432875,1.6429501,0.34695002,9.8809509,10.022617
0.13674805,1.6309501,0.34305,9.8610001,10.00085
0.13916712,1.6500001,0.34500003,9.8130007,9.9567318
0.1415862,1.641,0.35205001,9.7750502,9.9180858
0.14400528,1.6170001,0.36195001,9.7150507,9.8553492
0.14642435,1.6030501,0.33495003,9.684,9.8214977
0.14884343,1.5979501,0.38100001,9.6580505,9.796762
0.15126249,1.58595,0.34995002,9.6550503,9.7906945
0.15368156,1.60695,0.34695002,9.6750002,9.8136788
0.15610064,1.605,0.35505003,9.7129507,9.8510658
0.15851972,1.6099501,0.35505003,9.7339506,9.8725779
0.16093879,1.626,0.37605003,9.7780504,9.9194536
0.16335785,1.6380001,0.33105001,9.7729502,9.9147967
0.16577692,1.62195,0.32595003,9.8110504,9.9495566
0.168196,1.6360501,0.36900002,9.8329506,9.9749556
0.17061508,1.6500001,0.34695002,9.8590508,10.002188
0.17303416,1.6030501,0.36705002,9.8659506,10.002074
0.17545329,1.6380001,0.36900002,9.8520002,9.9940539
0.17787237,1.626,0.37905002,9.8449507,9.98552
0.18029145,1.6290001,0.38595003,9.8400002,9.9813928
0.18271053,1.66005,0.36405003,9.8520002,9.9975101
0.1851296,1.6290001,0.38100001,9.8779507,10.018618
0.18754868,1.6290001,0.35895002,9.8370008,9.9774281
0.18996776,1.6309501,0.38295001,9.8089504,9.9509878
0.19238683,1.6380001,0.37395,9.8040009,9.9469249
0.19480591,1.6189501,0.36405003,9.7939501,9.9335286
0.19722499,1.6380001,0.37905002,9.7780504,9.9215419
0.19964406,1.626,0.34500003,9.7440004,9.8847582
0.20206314,1.6099501,0.37905002,9.7440004,9.8833781
0.20448222,1.6189501,0.36195001,9.7540503,9.8941146
0.2069013,1.641,0.35205001,9.7579508,9.9012334
0.20932037,1.605,0.35895002,9.7660503,9.9035655
0.21173943,1.6380001,0.37095001,9.75105,9.894626
0.2141585,1.6120501,0.37605003,9.7660503,9.9053449
0.21657781,1.6290001,0.36705002,9.8370008,9.9777228
0.21899666,1.641,0.34005001,9.8250008,9.966903
0.22141597,1.6360501,0.36195001,9.8130007,9.9550314
0.22383481,1.6500001,0.38295001,9.8020506,9.9473286
0.22625389,1.6339501,0.35700002,9.8179502,9.959387
0.2286732,1.62405,0.35895002,9.8299503,9.9696694
0.23109228,1.6170001,0.37905002,9.8209505,9.9603934
0.23351135,1.6189501,0.38295001,9.7990503,9.9392675
0.23593042,1.6480501,0.35505003,9.8179502,9.9616403
0.2383495,1.605,0.36900002,9.8040009,9.941359
0.24076857,1.6290001,0.36405003,9.8179502,9.9588313
0.24318765,1.6380001,0.35505003,9.7870502,9.9295245
0.24560673,1.6170001,0.36900002,9.8110504,9.9502543
0.2480258,1.6360501,0.34695002,9.7800007,9.9219679
0.25044487,1.6339501,0.35700002,9.8280001,9.9692942
0.25286395,1.6459501,0.35700002,9.8059502,9.9495356
0.25528303,1.6360501,0.37395,9.7870502,9.9298968
0.2577021,1.626,0.37095001,9.7900505,9.931091
0.26012126,1.605,0.36900002,9.75105,9.8891436
0.26254033,1.6189501,0.37395,9.7540503,9.8945609
0.26495941,1.6360501,0.36705002,9.7680006,9.9108638
0.26737849,1.62195,0.34305,9.7560005,9.8958553
0.26979756,1.6360501,0.34005001,9.7660503,9.9079783
0.27221666,1.6339501,0.35700002,9.78195,9.9238998
0.27463573,1.62405,0.37605003,9.8089504,9.949596
0.27705481,1.6189501,0.34500003,9.8040009,9.942759
0.27947389,1.641,0.34695002,9.8160009,9.9582694
0.28189296,1.6459501,0.38100001,9.8449507,9.9888621
0.28431205,1.6189501,0.36405003,9.8040009,9.9434383
0.28673113,1.6290001,0.36195001,9.8110504,9.9519525
0.28915043,1.62195,0.35505003,9.8089504,9.9484818
0.29156951,1.6030501,0.36405003,9.7990503,9.9359795
0.29398859,1.6140001,0.38595003,9.8040009,9.9434595
0.29640767,1.5829501,0.36405003,9.8130007,9.9465193
0.29882674,1.5979501,0.37095001,9.8130007,9.9491724
0.30124582,1.5979501,0.36405003,9.8280001,9.9637123
0.3036649,1.6099501,0.36900002,9.8299503,9.9677492
0.30608397,1.641,0.37605003,9.8299503,9.9730747
0.30850305,1.6290001,0.35895002,9.8209505,9.961604
0.31092213,1.62405,0.40200001,9.8280001,9.9693895
0.3133412,1.6170001,0.36405003,9.7939501,9.933211
0.31576028,1.6030501,0.36705002,9.7800007,9.9173035
0.31817936,1.6339501,0.36900002,9.7900505,9.9323231
0.32059845,1.5829501,0.35700002,9.7800007,9.9137074
0.3230176,1.60695,0.38595003,9.7870502,9.9256032
0.3254366,1.6480501,0.37605003,9.7920008,9.9368386
0.32785575,1.6189501,0.36405003,9.7920008,9.9316067
0.33027483,1.6290001,0.38295001,9.8059502,9.9477108
0.33269384,1.6309501,0.35505003,9.7800007,9.9214148
0.335113,1.641,0.37395,9.7969503,9.9404706
0.337532,1.65495,0.36900002,9.7920008,9.9377211
0.33995115,1.641,0.35505003,9.8040009,9.9467268
0.34237023,1.6380001,0.37905002,9.8089504,9.9519964
0.34478931,1.6500001,0.35700002,9.7939501,9.9383805
0.34720839,1.6380001,0.35700002,9.8040009,9.9463021
0.34962746,1.6309501,0.33495003,9.8089504,9.9492562
0.35204654,1.6429501,0.35895002,9.8059502,9.9491099
0.35446562,1.6120501,0.35205001,9.8059502,9.9438073
0.35688471,1.626,0.35700002,9.7699509,9.9107651
0.35930379,1.62195,0.34500003,9.78195,9.9215066
0.36172286,1.6030501,0.34995002,9.7800007,9.9166853
0.36414194,1.62195,0.36900002,9.7969503,9.9371585
0.36656102,1.6189501,0.36705002,9.7870502,9.9268362
0.36898011,1.5930001,0.34305,9.7870502,9.9217783
0.37139919,1.6140001,0.37605003,9.8110504,9.9500312
0.37381826,1.6120501,0.35205001,9.7900505,9.9281284
0.37623757,1.6000501,0.36900002,9.7939501,9.9306485
0.37865665,1.58595,0.35895002,9.7990503,9.9330494
0.38107573,1.6120501,0.35505003,9.7900505,9.9282352
0.38349481,1.6030501,0.37605003,9.7920008,9.9294744
0.38591388,1.6000501,0.36705002,9.7900505,9.9267303
0.38833296,1.6120501,0.37095001,9.7900505,9.9288166
0.39075204,1.6099501,0.35505003,9.78195,9.9199065
0.39317111,1.62195,0.34695002,9.8130007,9.9521896
0.39559019,1.6170001,0.34995002,9.8449507,9.982996
0.39800926,1.6360501,0.35205001,9.8209505,9.9625131
0.40042834,1.626,0.37095001,9.8299503,9.9704265
0.40284742,1.6480501,0.35895002,9.8130007,9.956902
0.4052665,1.6429501,0.35700002,9.8040009,9.9471185
0.40768558,1.6459501,0.38805002,9.8059502,9.9506981
0.41010473,1.6429501,0.36900002,9.7990503,9.9426774
0.41252381,1.6459501,0.36900002,9.8110504,9.9549999
0.41494289,1.66005,0.38295001,9.8400002,9.9863917
0.41736197,1.6360501,0.36705002,9.8040009,9.946347
0.41978104,1.6339501,0.36405003,9.7729502,9.9152852
0.42220012,1.69095,0.36900002,9.7630501,9.9152721
0.4246192,1.6819501,0.38295001,9.7990503,9.9497233
0.42703828,1.6339501,0.39300001,9.8299503,9.9725707
0.42945737,1.6000501,0.36195001,9.7750502,9.9117493
0.43187644,1.5829501,0.38100001,9.7060509,9.8416622
0.43429552,1.6120501,0.36405003,9.7110004,9.8506227
0.4367146,1.62405,0.34995002,9.7660503,9.9063486
0.43913367,1.6030501,0.36900002,9.8160009,9.9528792
