time,x,y,z,a
0.02427298,-0.63020968,1.9064814,9.387043,9.5993964
0.026746105,-0.60388863,1.8921245,9.4803629,9.6861807
0.029218813,-0.55363935,1.8538394,9.5545406,9.7484606
0.031692043,-0.46989053,1.7964116,9.6311111,9.8084756
0.034165636,-0.34307095,1.736591,9.7172527,9.8771679
0.036638657,-0.20668006,1.683949,9.7938232,9.9396868
0.039111522,-0.067896344,1.6313069,9.8464651,9.9809141
0.04158423,0.068494551,1.5786648,9.9062853,10.031518
0.044057251,0.19292133,1.5188441,9.9684992,10.08539
0.046530376,0.31734809,1.4542379,10.033105,10.142914
0.049002876,0.41784665,1.3944174,10.102497,10.206833
0.051475063,0.48245287,1.3226327,10.145568,10.242786
0.053947511,0.53509498,1.2412767,10.162318,10.25182
0.056419855,0.56859446,1.1503495,10.12164,10.202657
0.058892251,0.56141603,1.0522437,10.030712,10.101366
0.061364543,0.51595241,0.97567344,9.9613209,10.022278
0.063837407,0.4657031,0.90388876,9.8895359,9.9416706
0.066310168,0.41066819,0.81535429,9.8177509,9.8601057
0.068782824,0.31016964,0.73878402,9.755538,9.7883874
0.07125548,0.18335004,0.69092757,9.6981106,9.7244201
0.073727772,0.068494551,0.66460651,9.643075,9.6661931
0.076200584,-0.070289165,0.6334998,9.5880404,9.6092029
0.078673241,-0.23060828,0.62632132,9.5641117,9.5873715
0.081146001,-0.40049869,0.67657059,9.5904331,9.6226064
0.083619386,-0.58953166,0.7507481,9.6693964,9.7163984
0.086092668,-0.74745798,0.79621172,9.6789675,9.7403828
0.088565845,-0.85752779,0.81056869,9.5138626,9.5867595
0.091039334,-0.96999049,0.83449692,9.2937231,9.3813941
0.093512772,-1.0872388,0.89192462,9.1262255,9.2339379
0.095985897,-1.2140584,0.93499547,8.9348001,9.0652528
0.09845897,-1.355235,0.98045909,8.7338028,8.8925403
0.10093183,-1.4605191,1.0115658,8.609376,8.7907756
0.1034048,-1.5131612,1.0235299,8.537591,8.7308493
0.10587835,-1.5394822,1.035494,8.5208416,8.7204928
0.10835152,-1.5586249,1.0067801,8.578269,8.7766518
0.11082465,-1.5442679,0.97088778,8.7050886,8.8941528
0.11329767,-1.5131612,0.93260264,8.8869429,9.0629553
0.11577116,-1.4868401,0.84885383,9.1070833,9.2666182
0.11824387,-1.4581263,0.74356961,9.3798647,9.5216012
0.12071663,-1.4198412,0.64546388,9.6622181,9.7872893
0.12318949,-1.3624134,0.52582276,9.8201437,9.9281359
0.12566267,-1.2714862,0.37507495,9.9110718,9.9993351
0.12813506,-1.1733804,0.20757736,9.9900341,10.060849
0.13060782,-1.058525,0.049651071,10.042677,10.098431
0.13308064,-0.92213404,-0.10109676,10.085748,10.12832
0.13555392,-0.76420772,-0.24466611,10.107283,10.139085
0.1380272,-0.58474606,-0.38105699,10.150353,10.174321
