time,x,y,z,a
0.00753843,-4.3039503,5.0400004,6.7399502,9.4526462
0.009940892,-4.2919502,5.0710502,6.6510005,9.4006486
0.01234343,-4.302,5.08605,6.6030002,9.379484
0.014746116,-4.2780004,5.0670004,6.5670004,9.3328063
0.017148579,-4.29495,5.0590501,6.5380502,9.3159371
0.019551041,-4.2990003,5.0380502,6.5620503,9.3232965
0.021953577,-4.3210502,5.0239501,6.5809503,9.3391892
0.024356041,-4.3500004,5.0089502,6.6100502,9.3650867
0.026758731,-4.36905,4.9759502,6.6840005,9.4087481
0.029161195,-4.3879504,4.9710002,6.7060504,9.4305919
0.031563731,-4.4410501,4.9090505,6.7870502,9.4808097
0.033966195,-4.4650502,4.8940501,6.8209505,9.5086154
0.036368885,-4.4910002,4.8649502,6.8809505,9.5490472
0.038771431,-4.4689503,4.8250504,6.8950505,9.5286069
0.041173892,-4.4380503,4.8300004,6.9430504,9.5514995
0.043576582,-4.39995,4.842,6.9859505,9.5712083
0.045979046,-4.3399501,4.8610501,7.0480504,9.5989577
0.048381582,-4.2679501,4.87995,7.0939503,9.6100698
0.05078406,-4.1460004,4.8940501,7.1419501,9.5994009
0.05318675,-4.06005,4.9180503,7.2019506,9.6197358
0.055589214,-4.0050001,4.9180503,7.2349505,9.6214216
0.05799175,-3.9280503,4.9489503,7.2520504,9.6184158
0.060394443,-3.8779502,4.9759502,7.2400503,9.6029635
0.062796911,-3.8250003,4.9879503,7.2300005,9.580354
0.065199448,-3.7729502,5.0070004,7.1970005,9.544738
0.067601911,-3.7890003,5.0160003,7.2090001,9.5648557
0.070004373,-3.8179502,4.9999504,7.2589502,9.6056549
0.072407063,-3.8680501,4.9440002,7.2930002,9.6225154
0.074809527,-3.9589503,4.7940001,7.4890504,9.7335297
0.077212063,-4.2280502,4.5450001,7.6900506,9.8828292
0.079614755,-4.6180501,4.12605,7.8940506,10.03328
0.082017219,-4.809,3.9049501,7.9890003,10.109364
0.084419755,-4.6489501,3.9960003,7.9080005,10.00586
